StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2023-01-01T09:30+00:00Z,2023-01-01T09:45+00:00Z,10YHU-MAVIR----U,MAW,B19,20
2023-01-01T09:45+00:00Z,2023-01-01T10:00+00:00Z,10YHU-MAVIR----U,MAW,B19,14
2023-01-01T10:00+00:00Z,2023-01-01T10:15+00:00Z,10YHU-MAVIR----U,MAW,B19,15
2023-01-01T10:15+00:00Z,2023-01-01T10:30+00:00Z,10YHU-MAVIR----U,MAW,B19,16
2023-01-01T10:30+00:00Z,2023-01-01T10:45+00:00Z,10YHU-MAVIR----U,MAW,B19,16
2023-01-01T10:45+00:00Z,2023-01-01T11:00+00:00Z,10YHU-MAVIR----U,MAW,B19,13
2023-01-01T11:00+00:00Z,2023-01-01T11:15+00:00Z,10YHU-MAVIR----U,MAW,B19,11
2023-01-01T11:15+00:00Z,2023-01-01T11:30+00:00Z,10YHU-MAVIR----U,MAW,B19,10
2023-01-01T11:30+00:00Z,2023-01-01T11:45+00:00Z,10YHU-MAVIR----U,MAW,B19,7
2023-01-01T11:45+00:00Z,2023-01-01T12:00+00:00Z,10YHU-MAVIR----U,MAW,B19,3
2023-01-01T12:00+00:00Z,2023-01-01T12:15+00:00Z,10YHU-MAVIR----U,MAW,B19,3
2023-01-01T12:15+00:00Z,2023-01-01T12:30+00:00Z,10YHU-MAVIR----U,MAW,B19,2
2023-01-01T12:30+00:00Z,2023-01-01T12:45+00:00Z,10YHU-MAVIR----U,MAW,B19,5
2023-01-01T12:45+00:00Z,2023-01-01T13:00+00:00Z,10YHU-MAVIR----U,MAW,B19,8
2023-01-01T13:00+00:00Z,2023-01-01T13:15+00:00Z,10YHU-MAVIR----U,MAW,B19,8
2023-01-01T13:15+00:00Z,2023-01-01T13:30+00:00Z,10YHU-MAVIR----U,MAW,B19,9
2023-01-01T13:30+00:00Z,2023-01-01T13:45+00:00Z,10YHU-MAVIR----U,MAW,B19,11
2023-01-01T13:45+00:00Z,2023-01-01T14:00+00:00Z,10YHU-MAVIR----U,MAW,B19,12
2023-01-01T14:00+00:00Z,2023-01-01T14:15+00:00Z,10YHU-MAVIR----U,MAW,B19,14
2023-01-01T14:15+00:00Z,2023-01-01T14:30+00:00Z,10YHU-MAVIR----U,MAW,B19,15
2023-01-01T14:30+00:00Z,2023-01-01T14:45+00:00Z,10YHU-MAVIR----U,MAW,B19,16
2023-01-01T14:45+00:00Z,2023-01-01T15:00+00:00Z,10YHU-MAVIR----U,MAW,B19,18
2023-01-01T15:00+00:00Z,2023-01-01T15:15+00:00Z,10YHU-MAVIR----U,MAW,B19,18
2023-01-01T15:15+00:00Z,2023-01-01T15:30+00:00Z,10YHU-MAVIR----U,MAW,B19,16
2023-01-01T15:30+00:00Z,2023-01-01T15:45+00:00Z,10YHU-MAVIR----U,MAW,B19,20
2023-01-01T15:45+00:00Z,2023-01-01T16:00+00:00Z,10YHU-MAVIR----U,MAW,B19,22
2023-01-01T16:00+00:00Z,2023-01-01T16:15+00:00Z,10YHU-MAVIR----U,MAW,B19,21
2023-01-01T16:15+00:00Z,2023-01-01T16:30+00:00Z,10YHU-MAVIR----U,MAW,B19,23
2023-01-01T16:30+00:00Z,2023-01-01T16:45+00:00Z,10YHU-MAVIR----U,MAW,B19,27
2023-01-01T16:45+00:00Z,2023-01-01T17:00+00:00Z,10YHU-MAVIR----U,MAW,B19,28
2023-01-01T17:00+00:00Z,2023-01-01T17:15+00:00Z,10YHU-MAVIR----U,MAW,B19,31
2023-01-01T17:15+00:00Z,2023-01-01T17:30+00:00Z,10YHU-MAVIR----U,MAW,B19,33
2023-01-01T17:30+00:00Z,2023-01-01T17:45+00:00Z,10YHU-MAVIR----U,MAW,B19,29
2023-01-01T17:45+00:00Z,2023-01-01T18:00+00:00Z,10YHU-MAVIR----U,MAW,B19,23
2023-01-01T18:00+00:00Z,2023-01-01T18:15+00:00Z,10YHU-MAVIR----U,MAW,B19,22
2023-01-01T18:15+00:00Z,2023-01-01T18:30+00:00Z,10YHU-MAVIR----U,MAW,B19,26
2023-01-01T18:30+00:00Z,2023-01-01T18:45+00:00Z,10YHU-MAVIR----U,MAW,B19,32
2023-01-01T18:45+00:00Z,2023-01-01T19:00+00:00Z,10YHU-MAVIR----U,MAW,B19,37
2023-01-01T19:00+00:00Z,2023-01-01T19:15+00:00Z,10YHU-MAVIR----U,MAW,B19,38
2023-01-01T19:15+00:00Z,2023-01-01T19:30+00:00Z,10YHU-MAVIR----U,MAW,B19,34
2023-01-01T19:30+00:00Z,2023-01-01T19:45+00:00Z,10YHU-MAVIR----U,MAW,B19,31
2023-01-01T19:45+00:00Z,2023-01-01T20:00+00:00Z,10YHU-MAVIR----U,MAW,B19,28
2023-01-01T20:00+00:00Z,2023-01-01T20:15+00:00Z,10YHU-MAVIR----U,MAW,B19,29
2023-01-01T20:15+00:00Z,2023-01-01T20:30+00:00Z,10YHU-MAVIR----U,MAW,B19,27
2023-01-01T20:30+00:00Z,2023-01-01T20:45+00:00Z,10YHU-MAVIR----U,MAW,B19,26
2023-01-01T20:45+00:00Z,2023-01-01T21:00+00:00Z,10YHU-MAVIR----U,MAW,B19,27
2023-01-01T21:00+00:00Z,2023-01-01T21:15+00:00Z,10YHU-MAVIR----U,MAW,B19,31
2023-01-01T21:15+00:00Z,2023-01-01T21:30+00:00Z,10YHU-MAVIR----U,MAW,B19,31
2023-01-01T21:30+00:00Z,2023-01-01T21:45+00:00Z,10YHU-MAVIR----U,MAW,B19,30
2023-01-01T21:45+00:00Z,2023-01-01T22:00+00:00Z,10YHU-MAVIR----U,MAW,B19,30
2023-01-01T22:00+00:00Z,2023-01-01T22:15+00:00Z,10YHU-MAVIR----U,MAW,B19,25
2023-01-01T22:15+00:00Z,2023-01-01T22:30+00:00Z,10YHU-MAVIR----U,MAW,B19,24
2023-01-01T22:30+00:00Z,2023-01-01T22:45+00:00Z,10YHU-MAVIR----U,MAW,B19,18
2023-01-01T22:45+00:00Z,2023-01-01T23:00+00:00Z,10YHU-MAVIR----U,MAW,B19,15
2023-01-01T23:00+00:00Z,2023-01-01T23:15+00:00Z,10YHU-MAVIR----U,MAW,B19,15
2023-01-01T23:15+00:00Z,2023-01-01T23:30+00:00Z,10YHU-MAVIR----U,MAW,B19,13
2023-01-01T23:30+00:00Z,2023-01-01T23:45+00:00Z,10YHU-MAVIR----U,MAW,B19,10
